title,rating,id,imdbid,year
Passage de Venus,0,9602,3155794,1874
La Rosace Magique,0,9804,14495706,1877
Sallie Gardner at a Gallop,0,9603,2221420,1878
Le singe musicien,0,9806,12592084,1878
Athlete Swinging a Pick,0,9816,7816420,1881
Buffalo Running,0,9831,5459794,1883
L&#39;homme machine,0,9832,8588366,1885
Man Walking Around the Corner,0,9614,2075247,1887
Cockatoo Flying,0,9836,8133192,1887
Child Carrying Flowers to Woman,0,9837,7411790,1887
Jumping Over a Man&#39;s Back-Leapfrog,0,9838,7541160,1887
Man Riding Jumping Horse,0,9841,7754902,1887
Baboon Climbing a Pole,0,9902,8361552,1887
Roundhay Garden Scene,0,8040,0392728,1888
Accordion Player,0,9615,1758563,1888
Traffic Crossing Leeds Bridge,0,9616,0343112,1888
Pferd und Reiter Springen uber ein Hindernis,0,9675,3274100,1888
Brighton Street Scene,0,9947,2116853,1888
"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",0,9619,0466876,1889
Hyde Park Corner,0,9945,2116898,1889
"Monkeyshines, No. 1",0,9617,0361921,1890
"Monkeyshines, No. 2",0,9618,0416046,1890
London&#39;s Trafalgar Square,0,9621,1202028,1890
"Monkeyshines, No. 3",0,9678,0416047,1890
Mosquinha,0,9946,5285442,1890
"Traffic in King&#39;s Road, Chelsea",0,9944,2116968,1890
Dickson Greeting,0,9626,0241373,1891
Men Boxing,0,9628,0241715,1891
Newark Athlete,0,9629,0241763,1891
"Duncan and Another, Blacksmith Shop",0,9792,0241393,1891
Duncan Smoking,0,9793,0241392,1891
Duncan or Devonald with Muslin Cloud,0,9794,0241394,1891
"Monkey and Another, Boxing",0,9795,0241735,1891
Je vous aime,0,9800,3201916,1891
La vague,0,9802,3508566,1891
Two Fencers,0,9943,5447082,1891
Pauvre Pierrot,0,5433,0000003,1892
Un bon bock,0,9631,0000004,1892
Le clown et ses chiens,0,9632,0000002,1892
Fencing,0,9951,0241446,1892
Le prince de Galles,0,9952,0234520,1892
Wrestling,0,9948,0242148,1892
Boxing,0,9986,0241266,1892
Blacksmith Scene,0,9583,0000005,1893
Annabelle Butterfly Dance,0,9636,0229217,1894
Edison Kinetoscope Records: Annie Oakley,0,9642,8419312,1894
Autour d&#39;une cabine,0,9646,0000015,1894
"Barbershop, The",0,9648,0229235,1894
Bucking Broncho,0,9649,0309396,1894
Buffalo Dance,0,9650,0309402,1894
Edison Kinetoscopic Record of a Sneeze,0,9652,0000008,1894
Dickson Experimental Sound Film,0,9654,0177707,1894
Chinese Opium Den,0,9655,0000006,1894
Corbett and Courtney Before the Kinetograph,0,9656,0000007,1894
Falling Cat,0,9662,2049440,1894
"Glenroy Bros., No. 2",0,9663,0312728,1894
Glenroy Brothers,0,9664,0256782,1894
Leonard-Cushing Fight,0,9668,0203646,1894
"Luis Martinetti, Contortionist",0,9671,0277115,1894
Sandow No. 2,0,9673,2161519,1894
Sandow No. 3,0,9674,2161521,1894
Reve au coin du feu,0,9681,0413219,1894
Miss Jerry,0,9779,0000009,1894
Tables Turned on the Gardener,0,5444,0000014,1895
"Execution of Mary, Queen of Scots, The",0,6200,0132134,1895
Akrobatisches Potpourri,1,9679,0000011,1895
Annabelle Serpentine Dance,0,9683,0154152,1895
Italienischer Bauerntanz,0,9714,0000017,1895
Baby&#39;s Dinner,1,9715,0000029,1895
Billy Edwards and the Unknown,0,9766,0477266,1895
Blacksmith Scene,0,9767,0000022,1895
Barque sortant du port,0,9787,0000016,1895
"House of the Devil, The",0,4982,0000091,1896
Une nuit terrible,0,5406,0000131,1896
La fee aux choux,0,5445,0223341,1896
"Arrival of a Train, The",0,6199,0000012,1896
Sandow,0,9672,1428455,1896
Alger: rue Bab-Azoun,0,9949,1672718,1896
Lassage des boeufs pour le labour,0,9950,1736599,1896
Lancement d&#39;un navire,0,9901,0222137,1896
Bataille de neige,0,9328,0000041,1897
Four Heads Are Better Than One,0,4978,0135696,1898
"Astronomer&#39;s Dream; or, The Man in the Moon, The",0,5410,0000211,1898
"Temptation of St. Anthony, The",0,5411,0224240,1898
A Turn of the Century Illusionist,0,4994,0000246,1899
Cinderella,3,5914,0000230,1899
Sherlock Holmes Baffled,0,1594,0291476,1900
"Enchanted Drawing, The",0,4271,0000300,1900
Grandma&#39;s Reading Glass,0,4343,0000304,1900
As Seen Through A Telescope (a.k.a The Professor and His Field Glass),0,4344,0000272,1900
Explosion of a Motor Car (a.k.a The Dlights of Automobiling),0,4345,0257654,1900
Hamlet ( Le Duel d&#39;Hamlet),0,4346,0000306,1900
"One-Man Band, The",0,4993,0135453,1900
Grandma Threading Her Needle,0,5069,0377995,1900
"Searching Ruins on Broadway, Galveston, for Dead Bodies",0,5072,0230746,1900
Let Me Dream Again,0,5438,0000313,1900
"Doctor and the Monkey, The",0,5446,0227438,1900
L&#39;homme a la tete en caoutchouc,0,4995,0000359,1901
Reve et realite,0,5437,0258104,1901
Bluebeard,0,5500,0131934,1901
Le voyage dans la lune,0,1252,0000417,1902
Gulliver&#39;s Travels,0,5431,0229024,1902
"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",0,5432,0367177,1902
Mephistopheles&#39; School of Magic,0,5443,0000413,1902
"Great Train Robbery, The",0,1319,0000439,1903
"Infernal Boiling Pot, The",0,5002,0135180,1903
"Music Lover, The",0,5063,0000455,1903
"Monster, The",0,5064,0223755,1903
"Enchanted Well, The",0,5683,0189498,1903
"Cook in Trouble, The",0,5224,0215664,1904
"Living Playing Cards, The",0,5404,0135179,1904
"Untamable Whiskers, The",0,5601,0135631,1904
Le voyage a travers l&#39;impossible,0,6135,0000499,1904
"Scheming Gambler&#39;s Paradise, The",0,5003,0135690,1905
"Black Imp, The",0,5602,0215575,1905
"Story of the Kelly Gang, The",1,1349,0000574,1906
"Mysterious Retort, The",0,5024,0216016,1906
Humorous Phases of Funny Faces,0,5435,0000554,1906
"Hilarious Posters, The",0,5603,0135122,1906
"400 Tricks of the Devil, The",0,5684,0000567,1906
A Funny Shave,0,6206,0449172,1906
"Consequence of Feminism, The",0,7215,1260944,1906
"Eclipse: Courtship of the Sun and Moon, The",0,5223,0215737,1907
Good Glue Sticks,0,5615,0215817,1907
Unusual Cooking,0,6231,1802750,1908
"Princess Nicotine; or, The Smoke Fairy",2,4409,0001009,1909
"Devilish Tenant, The",0,5635,0127948,1909
Le barometre de la fidelite,1,6211,0277596,1909
Tilly the Tomboy Visits the Poor,3,1464,0232821,1910
Mobilier fidele,0,4983,0486978,1910
A Trip to Mars,0,5685,1515725,1910
Cleopatra,2,2003,0002101,1912
"Invaders, The",0,2005,0002281,1912
Max and the Donkey,0,5357,0277865,1912
"Voyage of the Bourrichon Family, The",0,5364,0003512,1913
Suspense,0,5915,0003424,1913
A Florida Enchantment,2,4457,0003973,1914
"Birth of a Nation, The",2,1258,0004972,1915
Hypocrites,0,11370,0004134,1915
Gretchen the Greenhorn,3,2008,0006745,1916
Lady Windermere&#39;s Fan,3,2014,0279914,1916
"Vagabond, The",0,5368,0007507,1916
Intolerance: Love&#39;s Struggle Throughout the Ages,0,5944,0006864,1916
Snow White,3,7004,0007361,1916
A Tale of Two Cities,3,1981,0008652,1917
Rebecca of Sunnybrook Farm,3,1993,0008499,1917
"Poor Little Rich Girl, The",3,1994,0008443,1917
A Romance of the Redwoods,0,2015,0008519,1917
"Raffles, the Amateur Cracksman",2,2019,0008489,1917
Tarzan of the Apes,3,1996,0009682,1918
Stella Maris,3,2007,0009652,1918
Are Crooks Dishonest?,0,5441,0008844,1918
Ich mochte kein Mann sein,3,7108,0010281,1918
When the Clouds Roll by,3,2018,0010879,1919
Broken Blossoms or The Yellow Man and the Girl,0,2588,0009968,1919
"Cabinet of Dr. Caligari, The",0,1306,0010323,1920
Pollyanna,3,1991,0011588,1920
Within Our Gates,3,5948,0011870,1920
Orphans of the Storm,3,1263,0012532,1921
"Kid, The",0,3945,0012349,1921
"Blot, The",3,4204,0011979,1921
K&ouml;rkarlen (The Phantom Carriage),2,5898,0012364,1921
"Nosferatu, eine Symphonie des Grauens",2,1307,0013442,1922
"Phantom, The",2,1631,0013496,1922
Nathan der Weise,2,1778,0013428,1922
"Man from Beyond, The",1,2001,0013367,1922
H&auml;xan: Witchcraft Through the Ages,3,3800,0013257,1922
"Paleface, The",0,5361,0012543,1922
Nanook of the North,1,5901,0013427,1922
Foolish Wives,3,5958,0013140,1922
"Dr. Mabuse, der Spieler - Ein Bild der Zeit",3,5967,0013086,1922
Safety Last!,0,1961,0014429,1923
Why Worry?,0,1967,0014611,1923
"Silent Command, The",2,1998,0014469,1923
La souriante Madame Beudet,3,5888,0013626,1923
Our Hospitality,0,5949,0014341,1923
A Woman of Paris,2,8947,0014624,1923
Die Nibelungen,2,1337,0015175,1924
Kriemhild&#39;s Revenge,2,1338,0015174,1924
"Thief of Bagdad, The",0,1264,0015400,1924
Wild Oranges,0,1960,0015498,1924
"Navigator, The",0,2009,0015163,1924
Sherlock Jr.,0,2011,0015324,1924
